Picture_Name;Year;IRL_eyes_to_crown;IRL_eyes_to_base_of_head;IRL_ratio_1;M1_eyes_to_crown;M1_eyes_to_base_of_head;M1_ratio_1;M2_eyes_to_crown;M2_eyes_to_base_of_head;M2_ratio_1;angle;IRL_tip_of_snout_to_back_of_head_;IRL_Corrected_tip_of_snout_to_back_of_head_;IR_top_of_head_to_base;IRL_ratio_2;M1_tip_of_snout_to_back_of_head_;M1_Corrected_tip_of_snout_to_back_of_head_;M1_top_of_head_to_base;M1_ratio_2;M2_tip_of_snout_to_back_of_head_;M2_Corrected_tip_of_snout_to_back_of_head_;M2_top_of_head_to_base;M2_ratio_2
1;2007;;;;103;96;1.072916667;106;92;1.152173913;;;;;;;0;;0;;0;;0
2;1988;;;;131;109;1.201834862;135;127;1.062992126;;;;;;;0;;0;;0;;0
3;1985;;;;81;103;0.786407767;66;54;1.222222222;0;;;;;185;185;128;1.4453125;184;184;141;1.005434783
4;1985;;;;85;124;0.685483871;85;102;0.833333333;0.785398163;;;;;208;294.156421;198;1.48563849;203;287.0853532;204;1.024630542
5;1985;;;;65;161;0.403726708;57;161;0.354037267;0.785398163;;;;;211;298.3990617;224;1.332138668;214;302.6417023;220;0.985981308
6;1986;;;;103;171;0.602339181;102;162;0.62962963;0.785398163;;;;;;0;;0;;0;;0
987.349;1986;;;;21;31;0.677419355;18;30;0.6;0.785398163;;;;;54;76.36753237;50;1.527350647;53;74.95331881;52;1.018867925
987.886;1987;;;;99;68;1.455882353;99;66;1.5;0;;;;;170;170;163;1.042944785;173;173;157;0.98265896
987.888;1987;;;;166;112;1.482142857;171;114;1.5;;;;;;;0;;0;;0;;0
987.890.1;1985;;;;104;84;1.238095238;105;90;1.166666667;0.785398163;;;;;221;312.5411973;256;1.220864052;228;322.4406922;265;0.969298246
987.903;1987;;;;153;95;1.610526316;145;95;1.526315789;;;;;;;0;;0;;0;;0
987.931;1987;;;;55;171;0.321637427;67;135;0.496296296;;;;;;;0;;0;;0;;0
988.1118;1988;;;;95.5;94;1.015957447;88;94;0.936170213;0.785398163;;;;;158;223.4457429;180;1.241365238;156;220.6173157;189;1.012820513
988.1119;1987;;;;68;75;0.906666667;77;88;0.875;0;;;;;171;171;129;1.325581395;134;134;159;1.276119403
988.1120.1;1988;;;;80;114;0.701754386;87;108;0.805555556;;;;;;;0;;0;;0;;0
988.1120.2;1988;;;;79;166;0.475903614;76;80;0.95;;;;;;;0;;0;;0;;0
988.1120.3;1988;;;;81;103;0.786407767;87;84;1.035714286;;;;;;;0;;0;;0;;0
988.1122;1988;;;;157;123;1.276422764;101;148;0.682432432;0;;;;;253;253;283;0.893992933;181;181;290;1.397790055
988.179;1986;;;;99;92;1.076086957;92;91;1.010989011;;;;;;;0;;0;;0;;0
988.482;1987;;;;61;134;0.455223881;63;108;0.583333333;0.785398163;;;;;113;159.8061325;122;1.309886332;116;164.0487732;131;0.974137931
988.496;1988;;;;68;94;0.723404255;66;107;0.61682243;0.785398163;;;;;183;258.8010819;164;1.578055378;184;260.2152955;155;0.994565217
988.515;1988;;;;61;137;0.445255474;65;107;0.607476636;;;;;;;0;;0;;0;;0
988.516;1988;;;;56;99;0.565656566;49;83;0.590361446;;;;;;;0;;0;;0;;0
988.517;1987;;;;47;112;0.419642857;50;92;0.543478261;;;;;;;0;;0;;0;;0
988.518;1985;;;;63;118;0.533898305;56;100;0.56;0;;;;;182;182;165;1.103030303;191;191;180;0.952879581
988.637;1988;;;;84;122;0.68852459;115;155;0.741935484;0;;;;;207;207;159;1.301886792;226;226;161;0.915929204
988.7;1987;;;;130;95;1.368421053;108;110;0.981818182;0.785398163;;;;;241;340.8254685;237;1.438082146;245;346.4823228;238;0.983673469
988.9;1988;;;;86;99;0.868686869;91;81;1.12345679;;;;;;166;166;194;0.855670103;171;171;199;0.970760234
988.901;1988;;;;93;120;0.775;91;107;0.85046729;0;;;;;199;199;187;1.064171123;201;201;206;0.990049751
989.11;1987;;;;20;136;0.147058824;22;131;0.167938931;;;;;;;0;;0;;0;;0
989.12;1986;;;;83;137;0.605839416;84;126;0.666666667;;;;;;;0;;0;;0;;0
989.13;1986;;;;113;105;1.076190476;121;89;1.359550562;;;;;;;0;;0;;0;;0
989.526;1988;;;;52;109;0.47706422;66;104;0.634615385;;;;;;;0;;0;;0;;0
989.7;1986;;;;121;111;1.09009009;91;112;0.8125;;;;;;;0;;0;;0;;0
990.356;1987;;;;80;98;0.816326531;75;98;0.765306122;;;;;;;0;;0;;0;;0
991.1076;1990;;;;42;57;0.736842105;56;48;1.166666667;0;;;;;112;112;96;1.166666667;123;123;102;0.910569106
991.385.1;1985;;;;107;149;0.718120805;107;140;0.764285714;;;;;;;0;;0;;0;;0
991.385.2;1985;;;;100;146;0.684931507;95;142;0.669014085;;;;;;;0;;0;;0;;0
991.408;1987;;;;90;125;0.72;89;122;0.729508197;;;;;;;0;;0;;0;;0
991.409;1988;;;;103;156;0.66025641;112;145;0.772413793;;;;;;;0;;0;;0;;0
991.410.1;1988;;;;95;102;0.931372549;102;84;1.214285714;;;;;;;0;;0;;0;;0
991.410.2;1988;;;;106;85;1.247058824;106;76;1.394736842;;;;;;;0;;0;;0;;0
991.411;1988;;;;121;103;1.174757282;127;103;1.233009709;;;;;;;0;;0;;0;;0
991.413;1985;;;;181;168;1.077380952;170;163;1.042944785;;;;;;;0;;0;;0;;0
992.159;1992;;;;87;99;0.878787879;82;88;0.931818182;0;;;;;175;175;165;1.060606061;192;192;180;0.911458333
992.384.1;1992;;;;96;114;0.842105263;93;111;0.837837838;0;;;;;218;218;186;1.172043011;224;224;170;0.973214286
992.385.1;1990;;;;50;129;0.387596899;55;102;0.539215686;;;;;;188;188;132;1.424242424;199;199;145;0.944723618
992.386.1;1992;;;;105;89;1.179775281;91;89;1.02247191;;;;;;;0;;0;;0;;0
992.439.1;1987;;;;102;108;0.944444444;95;107;0.887850467;;;;;;;0;;0;;0;;0
992.490.1-2;1992;;;;100;120;0.833333333;95;106;0.896226415;;;;;;;0;;0;;0;;0
992.574;1992;;;;162;95;1.705263158;148;77;1.922077922;;;;;;;0;;0;;0;;0
993.11;1989;;;;103;142;0.725352113;104;128;0.8125;0.785398163;;;;;243;343.6538957;253;1.358315793;242;342.2396821;261;1.004132231
993.111.1;1993;;;;79;110;0.718181818;74;113;0.654867257;0;;;;;229;229;184;1.244565217;233;233;186;0.982832618
993.112;1992;;;;64;127;0.503937008;74;125;0.592;;;;;;;0;;0;;0;;0
993.113.3;1992;;;;118;98;1.204081633;118;91;1.296703297;;;;;;;0;;0;;0;;0
993.115;1992;;;;115;106;1.08490566;97;112;0.866071429;;;;;;;0;;0;;0;;0
993.116.3;1993;;;;101;90;1.122222222;103;92;1.119565217;0.785398163;;;;;160;226.27417;199;1.137056131;170;240.4163056;212;0.941176471
993.120.3;1993;;;;103;90;1.144444444;62;92;0.673913043;0.785398163;;;;;178;251.7300141;173;1.455086787;152;214.9604615;180;1.171052632
993.124.1;1993;;;;143;92;1.554347826;157;89;1.764044944;;;;;;;0;;0;;0;;0
993.131;1992;;;;137;70;1.957142857;96;76;1.263157895;0;;;;;208;208;177;1.175141243;194;194;182;1.072164948
993.133.1;1992;;;;128;105;1.219047619;115;99;1.161616162;;;;;;;0;;0;;0;;0
993.133.2;1993;;;;106;126;0.841269841;95;121;0.785123967;;;;;;;0;;0;;0;;0
993.140.7;1993;;;;133;113;1.17699115;136;88;1.545454545;0.785398163;;;;;223;315.3696244;229;1.377159932;236;333.7544007;249;0.944915254
993.140.8;1993;;;;111;110;1.009090909;109;108;1.009259259;;;;;;;0;;0;;0;;0
993.146.1;1993;;;;76;103;0.737864078;72;105;0.685714286;;;;;;;0;;0;;0;;0
993.146.4;1992;;;;60;114;0.526315789;64;97;0.659793814;;;;;;;0;;0;;0;;0
993.147;1993;;;;77;109;0.706422018;102;87;1.172413793;;;;;;;0;;0;;0;;0
993.148.2;1989;;;;76;85;0.894117647;78;80;0.975;0.785398163;;;;;148;209.3036072;143;1.463661589;156;220.6173157;150;0.948717949
993.148.3;1993;;;;52;128;0.40625;58;119;0.487394958;0;;;;;182;182;178;1.02247191;193;193;166;0.943005181
993.149.1;1993;;;;83;93;0.892473118;85;89;0.95505618;;;;;;;0;;0;;0;;0
993.149.2;1993;;;;60;124;0.483870968;56;115;0.486956522;;;;;;;0;;0;;0;;0
993.149.3;1993;;;;88;102;0.862745098;94;89;1.056179775;;;;;;;0;;0;;0;;0
993.149.4;1993;;;;95;98;0.969387755;103;84;1.226190476;;;;;;;0;;0;;0;;0
993.15;1994;;;;110;104;1.057692308;119;94;1.265957447;;;;;;;0;;0;;0;;0
993.151.2;1994;;;;96;131;0.732824427;98;113;0.867256637;0.785398163;;;;;224;316.783838;215;1.4734132;227;321.0264787;221;0.986784141
993.151.3;1993;;;;78;102;0.764705882;69;87;0.793103448;;;;;;;0;;0;;0;;0
993.152;1993;;;;92;105;0.876190476;99;104;0.951923077;;;;;;;0;;0;;0;;0
993.152.1;1993;;;;68;107;0.635514019;74;97;0.762886598;0.785398163;;;;;174;246.0731599;170;1.447489176;188;265.8721497;152;0.925531915
993.152.2;1993;;;;91;91;1;89;97;0.917525773;0;;;;;251;251;170;1.476470588;259;259;172;0.969111969
993.28.4;1992;;;;68;117;0.581196581;63;107;0.588785047;;;;;;;0;;0;;0;;0
993.29.1;1992;;;;85;130;0.653846154;79;119;0.663865546;;;;;;;0;;0;;0;;0
